,,判賠比率,判決案由
335,臺灣桃園地方法院民事判決109年度建字第88號,0.369727275,給付工程款
336,臺灣桃園地方法院民事判決110年度建字第35號,,給付貨款
337,臺灣橋頭地方法院民事判決109年度建字第39號,,給付工程款
338,臺灣臺中地方法院民事判決105年度建字第114號,0,給付工程款
339,臺灣臺中地方法院民事判決106年度建字第77號,0.33007168,給付工程款
340,臺灣臺中地方法院民事判決107年度建字第100號,0,損害賠償
341,臺灣臺中地方法院民事判決108年度建字第124號,1,給付工程款
342,臺灣臺中地方法院民事判決108年度建字第79號,0.035521679,給付工程款
343,臺灣臺中地方法院民事判決109年度建字第150號,0.621473087,給付承攬報酬
344,臺灣臺中地方法院民事判決109年度建字第45號,0,給付工程費用等
345,臺灣臺中地方法院民事判決109年度建字第65號,0.910721778,給付工程款等
346,臺灣臺中地方法院民事判決110年度建字第28號,,給付承攬報酬
347,臺灣臺北地方法院民事判決106年度建字第317號,,給付承攬報酬
348,臺灣臺北地方法院民事判決106年度建字第33號,0.866159436,給付工程款
349,臺灣臺北地方法院民事判決108年度建字第236號,0.505833212,給付工程款等
350,臺灣臺北地方法院民事判決109年度建字第122號,0,繼續履行工程契約
351,臺灣臺北地方法院民事判決109年度建字第124號,0.940865279,給付工程款
352,臺灣臺北地方法院民事判決109年度建字第331號,0,給付物價調整工程款
353,臺灣臺北地方法院民事判決109年度建字第353號,0.984138387,給付工程款
354,臺灣臺北地方法院民事判決109年度建字第373號,0.623292737,給付工程款等
355,臺灣臺北地方法院民事判決110年度建字第113號,1,給付工程保留款
356,臺灣臺北地方法院民事判決110年度建字第129號,1,給付工程款
357,臺灣臺北地方法院民事判決110年度建字第169號,0.393319873,返還工程款
358,臺灣臺北地方法院民事判決110年度建字第61號,1,給付承攬報酬
359,臺灣臺南地方法院民事判決107年度建字第24號,,返還工程款等
360,臺灣臺南地方法院民事判決108年度建字第50號,0,請求履行契約等
361,臺灣臺南地方法院民事判決109年度建字第47號,0,請求損害賠償
362,臺灣臺南地方法院民事判決110年度建字第24號,0,請求損害賠償
363,臺灣苗栗地方法院民事判決109年度建字第9號,0,給付服務費
364,臺灣高雄地方法院民事判決107年度建字第30號,0.561755233,給付工程款
365,福建金門地方法院民事判決108年度訴建字第5號,0,給付工程款
366,臺灣嘉義地方法院民事判決108年度建字第24號,0,給付工程款
367,臺灣嘉義地方法院民事判決110年度建字第10號,0,給付承攬報酬
368,臺灣嘉義地方法院民事判決110年度建字第28號,1,給付工程款
369,臺灣嘉義地方法院民事判決110年度建字第7號,0.356708247,給付報酬
370,臺灣士林地方法院民事判決107年度建字第52號,0.147935217,返還不當得利等
371,臺灣士林地方法院民事判決110年度建字第18號,0,返還工程款等
372,臺灣彰化地方法院民事判決110年度建字第31號,,損害賠償
373,臺灣新北地方法院民事判決106年度建字第58號,0.009073574,給付工程款
374,臺灣新北地方法院民事判決109年度建字第23號,0.204231554,損害賠償等
375,臺灣新北地方法院民事判決110年度建字第29號,1,給付工程款
376,臺灣新竹地方法院民事判決108年度建字第47號,0.024302725,給付工程款
377,臺灣新竹地方法院民事判決110年度建字第11號,0.945269091,給付工程款
378,臺灣新竹地方法院民事判決110年度建字第28號,,損害賠償
379,臺灣桃園地方法院民事判決108年度建字第106號,0,損害賠償
380,臺灣桃園地方法院民事判決108年度建字第81號,0.901764437,履行契約等
381,臺灣桃園地方法院民事判決109年度建字第58號,,確認工程債權存在
382,臺灣橋頭地方法院民事判決109年度建字第6號,0,損害賠償
383,臺灣臺中地方法院民事判決107年度建字第116號,0,給付工程款
384,臺灣臺中地方法院民事判決107年度建字第15號,0.519628839,給付工程款
385,臺灣臺中地方法院民事判決108年度建字第146號,0.1725127,給付工程款
